FBndID,huc12_code,acres,isAG,OID,GenLU,AgLandUse,CropRotatn,CropSumry,CCCount,MixCount
F070600040503_24,070600040503,75.1399,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,0:6
F070600040503_27,070600040503,105.989,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,5:6
F070600040503_28,070600040503,70.7644,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_29,070600040503,59.068,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_30,070600040503,26.9614,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,6:6
F070600040503_31,070600040503,37.5619,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,2:6
F070600040503_32,070600040503,42.6325,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,3:6
F070600040503_35,070600040503,30.0553,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_36,070600040503,55.4118,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,1:6
F070600040503_37,070600040503,45.122,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,6:6
F070600040503_38,070600040503,23.4848,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,0:6
F070600040503_39,070600040503,3.52033,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_40,070600040503,5.9399,0,-1,LT 15 ac,LT 15 ac,BCCBCC,C4B2,2:6,5:6
F070600040503_42,070600040503,30.8983,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,3:6
F070600040503_43,070600040503,8.32283,0,-1,LT 15 ac,LT 15 ac,BCCBCC,C4B2,2:6,0:6
F070600040503_45,070600040503,38.4764,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCCBCC,C5B1,3:6,0:6
F070600040503_46,070600040503,3.98475,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_48,070600040503,76.7844,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,6:6
F070600040503_49,070600040503,9.19739,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,1:6
F070600040503_50,070600040503,11.587,0,-1,LT 15 ac,LT 15 ac,CCCCBC,C5B1,3:6,5:6
F070600040503_51,070600040503,9.49774,0,-1,LT 15 ac,LT 15 ac,FFFFFF,F6,0:6,4:6
F070600040503_52,070600040503,14.8277,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,0:6
F070600040503_53,070600040503,77.6441,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_54,070600040503,23.9719,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_55,070600040503,20.4021,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_56,070600040503,9.94978,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,0:6
F070600040503_57,070600040503,41.5752,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_58,070600040503,57.306,0,-1,Forest,nonAg-Forest,FFFFFF,F6,0:6,6:6
F070600040503_59,070600040503,25.2251,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,1:6
F070600040503_60,070600040503,29.1402,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_61,070600040503,9.28817,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,2:6
F070600040503_62,070600040503,21.4183,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_63,070600040503,29.2263,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_64,070600040503,25.4915,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_65,070600040503,4.39021,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,0:6
F070600040503_66,070600040503,38.2001,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_67,070600040503,21.9147,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_68,070600040503,15.7803,0,-1,Forest,nonAg-Forest,FFFFFF,F6,0:6,6:6
F070600040503_69,070600040503,44.363,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,6:6
F070600040503_71,070600040503,3.19096,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,4:6
F070600040503_72,070600040503,5.1992,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_73,070600040503,154.446,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_74,070600040503,103.236,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_75,070600040503,94.1666,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_76,070600040503,5.26799,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_77,070600040503,95.5277,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,4:6
F070600040503_78,070600040503,62.2037,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_81,070600040503,20.9745,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,0:6
F070600040503_82,070600040503,146.361,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_83,070600040503,78.2436,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_84,070600040503,79.4183,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_85,070600040503,8.86427,0,-1,LT 15 ac,LT 15 ac,FFFFFF,F6,0:6,4:6
F070600040503_86,070600040503,10.8313,0,-1,LT 15 ac,LT 15 ac,CBCBCB,C3B3,0:6,0:6
F070600040503_87,070600040503,131.657,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_89,070600040503,10.6701,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,3:6
F070600040503_90,070600040503,75.0632,1,-1,Corn/Perennial,Corn/Alfalfa,PPPCCC,C3P3,2:6,5:6
F070600040503_91,070600040503,62.2058,1,-1,Corn/Perennial,Corn/Alfalfa/Pasture,PCCPPP,C2P4,1:6,6:6
F070600040503_92,070600040503,21.9689,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCCCBC,C5B1,3:6,1:6
F070600040503_93,070600040503,77.6186,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,0:6
F070600040503_94,070600040503,25.2904,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,1:6
F070600040503_95,070600040503,39.9193,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,4:6
F070600040503_96,070600040503,57.1412,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_97,070600040503,89.852,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_98,070600040503,13.7336,0,-1,LT 15 ac,LT 15 ac,CBCBCB,C3B3,0:6,1:6
F070600040503_99,070600040503,5.31435,0,-1,LT 15 ac,LT 15 ac,UUUUUC,C1U5,0:6,6:6
F070600040503_100,070600040503,21.189,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,6:6
F070600040503_101,070600040503,2.79527,0,-1,LT 15 ac,LT 15 ac,BCBFFF,C1B2F3,0:6,4:6
F070600040503_102,070600040503,4.29759,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_103,070600040503,74.7872,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,1:6
F070600040503_104,070600040503,53.7569,1,-1,Corn/Soybeans,Corn/Soybeans/Perennial,PPPBCB,C1B2P3,0:6,6:6
F070600040503_105,070600040503,24.2658,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_106,070600040503,3.44289,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,6:6
F070600040503_107,070600040503,38.8233,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,6:6
F070600040503_108,070600040503,100.505,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_109,070600040503,54.7112,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,3:6
F070600040503_110,070600040503,64.4798,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_111,070600040503,10.4525,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_113,070600040503,36.1607,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,6:6
F070600040503_114,070600040503,90.1988,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,3:6
F070600040503_115,070600040503,36.0352,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_116,070600040503,34.4536,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_118,070600040503,52.8311,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_121,070600040503,41.7626,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_122,070600040503,36.9372,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_123,070600040503,50.4178,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_124,070600040503,29.2071,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_125,070600040503,12.2416,0,-1,LT 15 ac,LT 15 ac,PCCBCg,C3B1g1P1,1:6,3:6
F070600040503_126,070600040503,7.02065,0,-1,LT 15 ac,LT 15 ac,UUUBCg,C1B1g1U3,0:6,6:6
F070600040503_127,070600040503,4.25449,0,-1,LT 15 ac,LT 15 ac,CgCPCP,C3g1P2,0:6,3:6
F070600040503_128,070600040503,45.8278,1,-1,Corn/Perennial,Corn/Alfalfa/Oats,CgCPCP,C3g1P2,0:6,5:6
F070600040503_129,070600040503,8.27278,0,-1,LT 15 ac,LT 15 ac,UUCPPP,C1P3U2,0:6,6:6
F070600040503_130,070600040503,29.7374,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_131,070600040503,27.3058,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_132,070600040503,26.087,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,0:6
F070600040503_133,070600040503,52.663,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_134,070600040503,3.32699,0,-1,LT 15 ac,LT 15 ac,PPUPPP,P5U1,0:6,6:6
F070600040503_135,070600040503,21.7775,1,-1,Corn/Soybeans,Corn/Soybeans/Perennial,BCBPBC,C2B3P1,0:6,6:6
F070600040503_136,070600040503,6.61288,0,-1,LT 15 ac,LT 15 ac,BCBCBP,C2B3P1,0:6,6:6
F070600040503_137,070600040503,70.2118,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCBCCC,C4B2,2:6,3:6
F070600040503_138,070600040503,54.9882,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,2:6
F070600040503_139,070600040503,12.6321,0,-1,LT 15 ac,LT 15 ac,CCBCCC,C5B1,3:6,4:6
F070600040503_140,070600040503,5.82804,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,2:6
F070600040503_141,070600040503,4.52167,0,-1,LT 15 ac,LT 15 ac,CUUUUF,C1F1U4,0:6,6:6
F070600040503_142,070600040503,2.71892,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_143,070600040503,111.026,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,2:6
F070600040503_144,070600040503,3.66792,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_145,070600040503,120.104,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,2:6
F070600040503_146,070600040503,74.2356,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_147,070600040503,117.132,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCCBCB,C4B2,2:6,0:6
F070600040503_148,070600040503,76.5742,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_149,070600040503,144.577,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_150,070600040503,92.2209,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_151,070600040503,8.84808,0,-1,LT 15 ac,LT 15 ac,CUUUUU,C1U5,0:6,6:6
F070600040503_152,070600040503,28.3196,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,0:6
F070600040503_153,070600040503,56.7624,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,0:6
F070600040503_154,070600040503,79.3977,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCBCBC,C4B2,1:6,2:6
F070600040503_155,070600040503,5.77836,0,-1,LT 15 ac,LT 15 ac,BCBCCC,C4B2,2:6,2:6
F070600040503_156,070600040503,29.9924,0,-1,Forest,nonAg-Forest,FFFFFF,F6,0:6,1:6
F070600040503_157,070600040503,7.7075,0,-1,LT 15 ac,LT 15 ac,PCPTTT,C1P2T3,0:6,6:6
F070600040503_158,070600040503,4.19455,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_159,070600040503,6.55608,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,2:6
F070600040503_160,070600040503,3.78956,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,2:6
F070600040503_161,070600040503,38.6205,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_163,070600040503,35.4368,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_164,070600040503,109.71,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_166,070600040503,20.6114,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,1:6
F070600040503_167,070600040503,18.7472,1,-1,Corn/Perennial,Corn/Alfalfa/Oats,CgPPPC,C2g1P3,0:6,3:6
F070600040503_168,070600040503,25.5431,0,-1,Water/wetland,nonAg-Water/Wetland,TTTTTT,T6,0:6,6:6
F070600040503_169,070600040503,14.0407,0,-1,LT 15 ac,LT 15 ac,CCCCBP,C4B1P1,3:6,2:6
F070600040503_170,070600040503,172.933,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,1:6
F070600040503_171,070600040503,3.33215,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,5:6
F070600040503_172,070600040503,37.4048,1,-1,Corn/Soybeans,CntCorn/Soybeans/Perennial,CCCCBP,C4B1P1,3:6,2:6
F070600040503_173,070600040503,136.37,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_174,070600040503,17.6409,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_175,070600040503,39.4709,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPC,C1P5,0:6,6:6
F070600040503_178,070600040503,113.186,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_179,070600040503,123.479,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_180,070600040503,180.762,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,0:6
F070600040503_181,070600040503,2.87609,0,-1,LT 15 ac,LT 15 ac,PCPPPP,C1P5,0:6,5:6
F070600040503_182,070600040503,22.466,0,-1,Forest,nonAg-Forest,FFFFFF,F6,0:6,6:6
F070600040503_183,070600040503,2.78712,0,-1,LT 15 ac,LT 15 ac,FFFFFF,F6,0:6,6:6
F070600040503_184,070600040503,17.6071,0,-1,Forest,nonAg-Forest,FFFFFF,F6,0:6,3:6
F070600040503_185,070600040503,13.2132,0,-1,LT 15 ac,LT 15 ac,PPPCPP,C1P5,0:6,5:6
F070600040503_186,070600040503,16.1085,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,2:6
F070600040503_187,070600040503,35.4045,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_188,070600040503,39.9624,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_189,070600040503,27.0557,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,0:6
F070600040503_190,070600040503,74.4623,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_191,070600040503,89.7435,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_192,070600040503,6.65263,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,3:6
F070600040503_193,070600040503,3.39791,0,-1,LT 15 ac,LT 15 ac,PPPCPP,C1P5,0:6,6:6
F070600040503_194,070600040503,14.9658,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,6:6
F070600040503_195,070600040503,99.4141,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_196,070600040503,76.6865,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_197,070600040503,73.5979,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,0:6
F070600040503_198,070600040503,66.2559,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCBC,C4B2,1:6,0:6
F070600040503_199,070600040503,3.63029,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_201,070600040503,117.222,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_202,070600040503,156.614,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCBCCC,C4B2,2:6,0:6
F070600040503_203,070600040503,109.607,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,1:6
F070600040503_204,070600040503,49.2367,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_205,070600040503,11.2111,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,0:6
F070600040503_206,070600040503,3.559,0,-1,LT 15 ac,LT 15 ac,PPPPPU,P5U1,0:6,6:6
F070600040503_207,070600040503,149.486,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,3:6
F070600040503_208,070600040503,39.0307,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_209,070600040503,72.3828,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCBCC,C4B2,2:6,0:6
F070600040503_210,070600040503,4.66837,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_211,070600040503,5.74102,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,6:6
F070600040503_212,070600040503,3.95974,0,-1,LT 15 ac,LT 15 ac,UCUUUC,C2U4,0:6,6:6
F070600040503_213,070600040503,69.6748,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCCCC,C5B1,3:6,6:6
F070600040503_214,070600040503,19.204,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_215,070600040503,138.353,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBBBCC,C3B3,1:6,6:6
F070600040503_216,070600040503,3.75927,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,2:6
F070600040503_218,070600040503,76.5634,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_219,070600040503,71.6804,1,-1,Corn/Perennial,Corn/Alfalfa,PPPCCC,C3P3,2:6,1:6
F070600040503_222,070600040503,10.014,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_223,070600040503,10.2023,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_224,070600040503,45.5975,1,-1,Corn/Soybeans,CntCorn/Soybeans,BBCCCC,C4B2,3:6,5:6
F070600040503_225,070600040503,100.022,1,-1,Corn/Soybeans,CntCorn/Soybeans/Perennial,CBCCCP,C4B1P1,2:6,4:6
F070600040503_226,070600040503,148.881,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBBCCC,C4B2,2:6,3:6
F070600040503_227,070600040503,7.82371,0,-1,LT 15 ac,LT 15 ac,UPPPPP,P5U1,0:6,6:6
F070600040503_229,070600040503,70.8928,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_231,070600040503,46.2214,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,2:6
F070600040503_232,070600040503,79.105,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,1:6
F070600040503_233,070600040503,37.5477,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_234,070600040503,67.1999,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_239,070600040503,97.9294,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_240,070600040503,59.9754,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_241,070600040503,93.9865,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_242,070600040503,60.4505,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_246,070600040503,16.26,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_247,070600040503,37.7536,1,-1,Corn rotation,Corn/Mixed,BCCCgP,C3B1g1P1,2:6,6:6
F070600040503_248,070600040503,172.361,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_249,070600040503,37.9567,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_250,070600040503,8.4327,0,-1,LT 15 ac,LT 15 ac,UUUUUU,U6,0:6,6:6
F070600040503_251,070600040503,48.5907,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,6:6
F070600040503_252,070600040503,76.7687,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_253,070600040503,37.6991,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_254,070600040503,76.4359,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_255,070600040503,76.7245,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_256,070600040503,59.0672,1,-1,Corn/Soybeans,CntCorn/Soybeans,CCCBCC,C5B1,3:6,0:6
F070600040503_259,070600040503,4.01771,0,-1,LT 15 ac,LT 15 ac,BCBCBC,C3B3,0:6,0:6
F070600040503_261,070600040503,2.69159,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,6:6
